,date,binance.NET,bitfinex.NET,bitmex.NET,bitstamp.NET,bittrex.NET,gemini.NET,huobi.NET,kraken.NET,poloniex.NET,close,high,low,high-low,volume,weekly_vol
4,2016-07-04,0.0,0.0016600725324016144,-0.003988422071673156,0.0034699551508256057,0.011064366404656231,0.005198159186566485,0.02464887635009709,0.022781247269012775,0.0074314491448536635,675.16,679.03,644.04,34.99000000000001,67140.0,7.773625466930101
5,2016-07-05,0.0,-0.011357868627855424,-0.04635176563371478,-0.005178902174729529,-0.000647836191057051,-0.0014909293734157638,0.03002142781901876,-0.0038032002673107496,0.030980069272409025,663.67,679.19,657.31,21.88000000000011,66150.0,7.63498207889087
6,2016-07-06,0.0,0.0006910396240752126,-0.015311456764167746,0.005517045273621669,0.007162433329715244,-0.002759511204210547,0.07839038328566378,-0.010755772766098196,-0.013493729280096067,672.7,678.39,662.24,16.149999999999977,64870.00000000001,9.70839512058212
7,2016-07-07,0.0,0.013277423770507786,-0.11573365507063663,-0.00759996405189306,-0.00231125799296137,-0.038044629649800155,-0.025929648914517364,0.000635081566135301,-0.008824098909583196,635.25,676.19,604.95,71.24000000000001,118340.0,8.003366213382565
8,2016-07-08,0.0,0.11160217556846809,-0.017591186514720653,-0.0053589023480023375,0.021592894520594708,0.008810334670741608,0.029312355956858445,0.007041904726034609,0.0026459332100830513,662.78,663.43,630.17,33.25999999999999,97460.0,8.281091268770776
9,2016-07-09,0.0,-0.040398185668145986,0.005818148945342839,0.003880718323819452,-0.0659478029464242,0.015342436010471878,0.0030788794896504518,0.005388238367321874,-0.0038934611467007774,651.83,663.49,620.68,42.81000000000006,77480.0,7.9644028571968715
10,2016-07-10,0.0,0.03690740017178888,-0.03901619417486013,0.003155053479972196,0.02495993059117373,-0.0005839208006978478,-0.012725852223803184,0.009656532420577292,-0.0046727045979091004,647.11,651.98,636.8,15.180000000000064,57010.0,8.127009656067184
11,2016-07-11,0.0,-0.010111959086232372,0.00482813784319866,-0.0087668831544652,0.011262097668652792,-0.019814576296180105,0.02497215513512166,0.0012066527692204745,0.03938610263748469,646.71,657.47,639.97,17.5,58060.0,6.297399382964366
12,2016-07-12,0.0,0.004439915410672096,0.04448791108811223,0.011273934587594125,0.04634446187538539,0.01089458719837208,-0.011935208218098035,-0.0030111598833627573,0.005250565707753677,670.56,673.19,644.56,28.63000000000011,70480.0,5.29948539812881
13,2016-07-13,0.0,0.028415120497025007,7.162964457774808e-05,-0.015133738118735524,0.07527418837253626,-0.009929648980651004,0.06286739338652733,0.002656142809545063,-0.020982059845650422,661.15,672.02,656.04,15.980000000000018,76950.0,4.5577516628152415
14,2016-07-14,0.0,0.048956440175509514,0.0037885566783605502,0.0012480648572844675,0.03586435153819338,-0.01370534756439397,-0.025952616912659168,0.0022611580692573838,0.0023530399702867133,657.25,661.88,646.31,15.57000000000005,69560.0,4.37417071494105
15,2016-07-15,0.0,0.0015477726499967433,-0.0022568914704490786,0.0029415382445301154,-0.005602352270698691,-0.018996859701758857,-0.025883414217709046,0.003494609887288086,0.014985930607004143,664.2,667.46,656.5,10.960000000000036,60040.0,4.272811959335153
16,2016-07-16,0.0,-0.016425301947674647,-0.0010349092151228922,0.002845753233516818,-0.009979521752112294,-0.007523655412181734,-0.05250752243120174,0.006269201244096835,0.002443995177653778,660.69,665.41,655.72,9.68999999999994,63240.0,3.7911108544319445
17,2016-07-17,0.0,0.012374613301379005,0.003632842613116312,1.4127021107481277e-05,-0.014405192915702789,-0.0002293030128301867,-0.08104185201370923,0.006053827439418808,0.012126089832536453,676.33,680.94,660.13,20.81000000000006,35720.0,4.024939379236275
18,2016-07-18,0.0,0.017553927019116455,0.008890061815922223,-0.004190566702123151,-0.02236651648591656,-0.009353153326034461,0.019243940731460657,0.0025346284834388624,0.011568848995754798,670.38,680.42,664.61,15.809999999999945,50940.0,3.7697602022927414
19,2016-07-19,0.0,-0.024249746910429054,0.0030871314889320297,-0.003958996615128297,0.061240002529391976,-0.0060402970266375255,0.008043425148979225,-0.0003071862292281999,0.00537402738796839,671.1,673.24,663.63,9.610000000000014,67140.0,4.037256917813943
20,2016-07-20,0.0,0.024455970428346525,0.009914149450358765,0.011822591231497152,-0.013106223294704178,0.011101206711030924,0.07138409877630424,0.00754697822978679,0.005027329286946658,664.4,672.29,659.51,12.779999999999973,108090.0,3.801159764497586
21,2016-07-21,0.0,0.0055549409585546605,-0.017352665368449368,-0.001731451865192201,-0.007019935932395686,-0.017759181745784485,0.021246601471565735,-0.017351026665692833,0.0018663807076349237,664.62,666.51,657.82,8.68999999999994,72030.0,3.5418366775007604
22,2016-07-22,0.0,0.0017654926368397411,-0.007874003352560586,-0.006146526680406914,0.0038592575496676773,-0.01617277097552067,0.0421151082672848,0.0036983552815652854,0.03564444771381642,651.11,669.44,645.69,23.75,83630.0,3.12637597368382
23,2016-07-23,0.0,0.013682262917526933,-0.030503889416679413,-0.0048722133003525105,-0.002035344218863866,0.007983410293202022,-0.0004750407202106857,-0.02582350871009861,-0.015373190429108577,655.16,658.17,647.98,10.18999999999994,88360.0,3.3054991676339833
24,2016-07-24,0.0,-0.016980257598476968,-0.003772045512534945,0.0030500230217661017,-0.024914995586791264,-0.0016502231374169642,-0.01579394473495988,-0.015267256545095378,0.016960003249791897,659.29,664.21,651.03,13.180000000000064,56130.0,3.175942545004931
25,2016-07-25,0.0,0.016050735330791127,0.002443070609715275,0.0014828505558455093,-0.02341081246520267,0.0024392661724839115,0.01939604459435015,0.027894660103461148,-0.03471998414978192,654.0,662.51,651.08,11.42999999999995,55690.0,3.4511802286909328
