,exch.binance.flow.in.ntv,exch.binance.flow.out.ntv,exch.bitfinex.flow.in.ntv,exch.bitfinex.flow.out.ntv,exch.bitmex.flow.in.ntv,exch.bitmex.flow.out.ntv,exch.bitstamp.flow.in.ntv,exch.bitstamp.flow.out.ntv,exch.bittrex.flow.in.ntv,exch.bittrex.flow.out.ntv,exch.gemini.flow.in.ntv,exch.gemini.flow.out.ntv,exch.huobi.flow.in.ntv,exch.huobi.flow.out.ntv,exch.kraken.flow.in.ntv,exch.kraken.flow.out.ntv,exch.poloniex.flow.in.ntv,exch.poloniex.flow.out.ntv,close,high,low,high-low,volume
847,0.034155620835570284,0.029729665721057334,0.03256427749521916,0.03390823097434077,0.0052946950651636335,0.008348096830296593,0.03019659267827354,0.03350112631163732,0.009118265590824556,0.010318333620991561,0.02323710379291429,0.03688178184876009,0.03603002171975442,0.02951336221759456,0.017412997371461073,0.014145967988435629,0.023478270751011242,0.020722574838148523,6462.77,6497.9,6432.3,65.59999999999945,13830000.0
848,0.025998218071529453,0.022433334637782586,0.021960825296806298,0.024385829112864528,0.00891994326645565,0.006364921864948259,0.03312959533793159,0.02525931304310474,0.007784538380535443,0.011389622112432956,0.034628809957313454,0.02669597273551105,0.026488587732609557,0.0252948961812659,0.012088521928598779,0.012970492827649048,0.02275416070137699,0.036766672895140615,6457.21,6514.0,6441.81,72.1899999999996,14770000.0
849,0.018844453166512322,0.01858785162620606,0.015734134732859548,0.01679797082115399,0.002441092422375308,0.0030847626303747385,0.008170967459408691,0.009785356769642269,0.003922684413973397,0.007199198750910194,0.00697418020693469,0.0036464381601976387,0.018759546133682543,0.017326338338195572,0.005414070469662626,0.009219016160851428,0.00771207468726621,0.01370374189806411,6470.17,6479.0,6445.95,33.05000000000018,3220000.0
850,0.021738981118154716,0.016736203899559297,0.010257541320912862,0.011166498831573847,0.0024190439358713666,0.002813752248512878,0.013108657502746276,0.005729098143878782,0.005990672542483781,0.006126986923889202,0.004187370164834026,0.004866587263311401,0.014684729324219825,0.01481585279166119,0.006196429858291782,0.006086267179018281,0.006574985371694506,0.014111294629819335,6470.74,6483.24,6444.74,38.5,2430000.0
851,0.030975353330076366,0.0321263182770682,0.04861454633809475,0.044091342581957634,0.012136214870470454,0.0037979725155865363,0.04073527603272688,0.02027091790702082,0.020045209562228744,0.013084555756366576,0.03791837014339604,0.03887041489572873,0.032649174012627166,0.02857042933128791,0.02117806238239987,0.01785399004218884,0.017442370186968773,0.02783151327945909,6313.91,6483.39,6282.58,200.8100000000004,2550000.0
852,0.02653921789802298,0.026664948696647307,0.0366937896980674,0.0197269538203205,0.0058095574366058365,0.004108400014193281,0.023387144289814973,0.032596510574895,0.015592784888912305,0.011794263620340112,0.030866411722047495,0.023378403794146303,0.029043645820779517,0.028234708798366225,0.025954372638137508,0.04421727188630085,0.013533692412436417,0.018151316207518073,6309.11,6340.68,6286.3,54.38000000000011,3300000.0
853,0.028922590722366654,0.028822387757492345,0.028474042657370583,0.030222404496899946,0.005549185148029332,0.007428133068401196,0.03411720647282999,0.03689249439139571,0.01419987027068362,0.015329076249173668,0.034609438332822,0.03406009798114171,0.03114359894401345,0.028387212102736026,0.034598128520640814,0.023256300947199784,0.016729692161487616,0.02139490574436374,6342.61,6391.25,6241.49,149.76000000000022,2110000.0
854,0.029587544786044064,0.030585897494051932,0.027818831465363014,0.02478198935527018,0.009065842059215665,0.009174989248865019,0.014242906001434213,0.020934973322011056,0.008339072162829156,0.01074743465707473,0.026053460678081532,0.02253362199549161,0.02884749367780719,0.030086589533624888,0.01990878611507888,0.01839246671182503,0.060430876859976744,0.06308870060705031,6381.3,6402.59,6322.6,79.98999999999978,2780000.0
855,0.03534633727525582,0.025922644246356857,0.12029233841805287,0.041335976274170724,0.005228278476969858,0.008991347805876652,0.04227869140866517,0.045181674752601354,0.01084674150297739,0.011185081115837376,0.02267593796944852,0.0350135506769648,0.02895643092474616,0.026987943977948056,0.012555800045364152,0.017527000727888344,0.022795854934883283,0.027053453160577008,6394.66,6420.93,6371.57,49.36000000000058,2530000.0
856,0.019060227195511006,0.022201020928580523,0.005493073852100343,0.036165705061937135,0.005232135056188692,0.006723001450588868,0.010672433187126565,0.009237438710712049,0.0066243909826850635,0.0074236752848327505,0.0029877253492290273,0.002480550069994516,0.021015324206675692,0.01817731990078102,0.010977732303101255,0.004088042689712137,0.005558144323259532,0.00761098658318082,6376.32,6398.09,6336.96,61.13000000000011,2860000.0
857,0.025908146840376137,0.025830305959228816,0.006026322416007846,0.00751666514672011,0.010115636183786273,0.0036818151134387416,0.013675796760141213,0.01027417933362385,0.005502498485654283,0.008328840122845611,0.005761242647882675,0.0068117576228262445,0.018507695798723058,0.014793302513314129,0.010203137408836814,0.007028060877185957,0.014312735055154588,0.012022133543764186,6467.05,6498.16,6351.92,146.23999999999978,2040000.0
858,0.03347623747567345,0.03463831868192271,0.02631874918563999,0.024733424179905518,0.013731377455658023,0.00885753593519071,0.035928545058421815,0.06892151405311968,0.014190479829334038,0.014299499410485179,0.04290152795531856,0.040536224775692124,0.029994052024333657,0.03136886437383253,0.02599805671599348,0.023075391764718154,0.02811552405453284,0.02294680178703392,6433.74,6475.8,6406.69,69.11000000000058,2000000.0
859,0.04969386547609252,0.05136322047769186,0.0176896497342888,0.01681678293890237,0.023930111290917596,0.004577542379437159,0.03394046724581763,0.029048809544781017,0.018126823252896437,0.016671730469843934,0.045880266256489693,0.02001162516245889,0.03700034971064892,0.039575836769691196,0.029861768353814887,0.033949178485506507,0.05930479529153142,0.031200712796746966,6479.72,6482.81,6412.56,70.25,2830000.0
860,0.036023877316189244,0.04127849256384854,0.02853356885360616,0.02188481792605041,0.016828186966915792,0.007593677408067507,0.031619527098632375,0.02992403549762285,0.01296402494680674,0.014424672635486977,0.04092931072147707,0.03451065153245186,0.03652833487724092,0.03671267412578098,0.0169657756138631,0.01798962259130458,0.03573630684301974,0.02398664389777785,6529.68,6562.79,6476.59,86.19999999999982,3880000.0
