,exch.binance.flow.in.ntv,exch.binance.flow.out.ntv,exch.bitfinex.flow.in.ntv,exch.bitfinex.flow.out.ntv,exch.bitstamp.flow.in.ntv,exch.bitstamp.flow.out.ntv,exch.bittrex.flow.in.ntv,exch.bittrex.flow.out.ntv,exch.gemini.flow.in.ntv,exch.gemini.flow.out.ntv,exch.huobi.flow.in.ntv,exch.huobi.flow.out.ntv,exch.kraken.flow.in.ntv,exch.kraken.flow.out.ntv,exch.poloniex.flow.in.ntv,exch.poloniex.flow.out.ntv,close,high,low,high-low,volume
520,2.208705354124057,2.2006907543087046,0.019206819028269432,0.03010248520104271,0.042933938597882505,0.044269753296840575,0.055063988845059766,0.056299102532560485,0.01972959153181253,0.02038221234534862,0.0,0.0,0.0038441327100190415,0.0066580623343411435,0.006555043656741485,0.008884738774202598,457.96,471.39,449.69,21.69999999999999,19960000.0
521,1.196105326564109,0.3593777212485258,0.03207500063607116,0.030017468823102796,0.02172746543107041,0.03590633121992746,0.054651330668650154,0.05827750966774914,0.012829847376759894,0.018237578605992382,0.0,0.0,0.00551037933587722,0.0064186512184852,0.00554711439624176,0.015329686465245445,462.81,481.56,445.57,35.99000000000001,16040000.0
522,0.4061944482674614,0.4641027605827024,0.03751367890144451,0.03546232604037845,0.04884280939879782,0.01897616008535962,0.06350907753689589,0.06289575806632493,0.015659125953667957,0.017000668495871226,0.0,0.0,0.005054418236642655,0.012176582778928587,0.006517677274838939,0.01261081258395514,466.93,472.16,446.64,25.52000000000004,13400000.0
523,0.5200070591562768,0.3704301182644655,0.09336984999691987,0.02975392108724112,0.03618247451721072,0.009619834722585117,0.054775517131485596,0.06150136373050213,0.028532123117215837,0.021080769002992748,0.0,0.0,0.007790204027174167,0.01347744393426076,0.011485863382639884,0.015079482285002402,453.96,467.84,451.47,16.369999999999948,17460000.0
524,0.7708574263372363,1.0156561425665098,0.09502571609452547,0.06766282422788551,0.057089607203598854,0.009619834722585117,0.12461896565575394,0.10830610943464374,0.02235883896622086,0.04650120557181063,0.0,0.0,0.012234212901802478,0.013781358951548547,0.016065445043779988,0.03939566464383862,422.48,456.87,413.13,43.74000000000001,22070000.0
525,0.9890606034390619,1.4762725095236735,0.16900622549288064,0.01144177934847929,0.05182466517498638,0.06698373023126095,0.09693053652004721,0.09949317622260348,0.03375845850155733,0.012990848192001534,0.0,0.0,0.008036246576119274,0.013107440504652387,0.026953124018900612,0.0304653533876619,421.15,434.85,404.16,30.689999999999998,20760000.0
526,1.1112353956038319,1.1765940202831446,0.02590538873263619,0.07748353110993496,0.07462435378435674,0.10124696199092426,0.12455917332677015,0.13354708139628377,0.033574557737518045,0.04833414131355915,0.0,0.0,0.009838961665614135,0.013847944699776456,0.03889611889860982,0.030990174275715435,451.74,461.1,410.33,50.77000000000004,24150000.0
527,0.9377909518402273,0.7447429134646815,0.03176921573927708,0.03711775003444157,0.05622736086219545,0.036954231554350445,0.08773349987363227,0.08491059117345,0.027260007248465824,0.025685747603052138,0.0,0.0,0.00390700744780175,0.009586686474301345,0.021369883176159135,0.014274989225771691,472.86,507.36,448.09,59.27000000000004,25610000.0
528,0.6653219327081501,0.8212696624761493,0.014474609043751467,0.03500513712636548,0.047304586188640266,0.029228836702884384,0.062490159912802205,0.061897860475120525,0.03315943149305936,0.03278834406657426,0.0,0.0,0.008025576706356622,0.008876559171618576,0.013911413084754234,0.016883697262201666,436.49,472.78,428.3,44.47999999999996,24820000.0
529,0.806489715872044,1.3904195978630967,0.039735883290370255,0.04395105590061029,0.03569182429942589,0.008281367549443084,0.051514605297157776,0.06724244354288467,0.04434748936033782,0.057039028291033154,0.0,0.0,0.011505866389608002,0.013418219010130373,0.007592893975820318,0.023194822044395567,513.29,519.35,436.01,83.34000000000003,22260000.0
530,1.32382843635855,0.7034249162108912,0.05872063407015149,0.019955654478379884,0.12506451232325946,0.14319178163461102,0.14672193723587967,0.1067692982481884,0.04731482204500397,0.06437076143174467,0.0,0.0,0.01231113270427603,0.02875816267359031,0.0308402952982064,0.02041445808428421,656.52,678.25,499.57,178.68,19990000.0
531,0.7929825350016476,0.7623768781350124,0.036143429204067566,0.06375414395769183,0.1564435974865088,0.11834418904665206,0.11432392247711494,0.10711478017802524,0.11560815937824967,0.08426813553182529,0.0,0.0,0.017909660615936074,0.02788980856640911,0.02024723133663242,0.03641842431942896,699.09,755.07,593.89,161.18000000000006,25050000.0
532,3.552340802083822,4.527171647276514,0.044685989097393145,0.048344247793287096,0.1019462957770794,0.05906889012860718,0.11863533678575135,0.13610345434219528,0.05815343236038452,0.054048966930885185,0.0,0.0,0.010384728036172278,0.02387442890242056,0.01981430373369302,0.030702082100261707,693.58,751.68,662.29,89.38999999999999,23790000.0
533,1.9846862218147996,1.8180597354163248,0.03934602145641198,0.04278541660113726,0.07094262499871488,0.06492578973396265,0.08718020208418986,0.11140652460659574,0.06556716278511394,0.051157646614827836,0.0,0.0,0.005383167566712774,0.0167179408505226,0.019194586629935388,0.02561807326176845,684.27,696.89,614.33,82.55999999999995,17390000.0
534,1.7024190241234514,2.2399493203360397,0.01946485019822387,0.025479598711603848,0.031248935817558547,0.0491221872224453,0.06633874947683426,0.07488033433268133,0.018780956344773347,0.022795218442747067,0.0,0.0,0.006361769258090673,0.0104112088277788,0.012442127408812918,0.017122935265865252,692.83,718.37,678.52,39.85000000000002,16500000.0
535,2.2484526228068704,2.349188435232644,0.015834747242208503,0.02651625700095791,0.026990157323435376,0.04357240319076969,0.06526823278706348,0.07939898242920942,0.014004353944830392,0.01967800868663579,0.0,0.0,0.0091599232221692,0.008141712897459526,0.012769470836026446,0.014839634588667605,717.71,732.45,691.95,40.5,14280000.0
536,1.7603297682529582,1.1676055792544566,0.021398084708343937,0.03134622041972635,0.06100704162050009,0.049367383974132636,0.09168418482688079,0.0903290730700051,0.038616548409902744,0.05398168267740212,0.0,0.0,0.016110862002738195,0.01622375454905802,0.010518896472581644,0.018521555477079232,785.99,799.37,679.8,119.57000000000005,15980000.0
537,1.734246020191606,1.7903642028747835,0.04098956163516825,0.03890484092457956,0.12056419081043591,0.08579333532571526,0.12028311149769985,0.12537808650948265,0.059854620519883724,0.059445281803074686,0.0,0.0,0.017810782426566085,0.019482580705328423,0.017164624843369374,0.02395440194111261,812.5,868.89,767.59,101.29999999999995,16730000.0
